TYPE	VALUE	LINE NO	LEX PO
READ	read	3	26
LPAREN	(	3	31
IDENTIFIER	TEMP	3	32
RPAREN	)	3	36
SEMICOLON	;	3	37
IF	if	4	39
LPAREN	(	4	42
IDENTIFIER	x	4	43
EQUALEQUAL	==	4	44
CONSTANT	5	4	46
RPAREN	)	4	47
BAR	|	5	50
IDENTIFIER	x	5	52
EQUAL	=	5	54
LESSTHAN	<	5	56
IDENTIFIER	x	5	58
PLUS	+	5	60
CONSTANT	5	5	62
GREATERTHAN	>	5	65
BAR	|	5	67
SEMICOLON	;	5	69
IF	if	6	72
LPAREN	(	6	74
IDENTIFIER	x	6	75
EQUALEQUAL	==	6	77
CONSTANT	5	6	80
RPAREN	)	6	81
BAR	|	7	85
IDENTIFIER	x	7	87
EQUAL	=	7	89
CONSTANT	5	7	91
BAR	|	7	93
SEMICOLON	;	7	95
IDENTIFIER	adder	8	99
LPAREN	(	8	104
IDENTIFIER	x	8	105
RPAREN	)	8	106
SEMICOLON	;	8	107
BAR	|	9	111
IDENTIFIER	x	9	113
EQUAL	=	9	115
LESSTHAN	<	9	117
CONSTANT	0	9	118
PLUS	+	9	120
CONSTANT	5	9	122
GREATERTHAN	>	9	123
BAR	|	9	125
SEMICOLON	;	9	127
IDENTIFIER	adder	10	131
LPAREN	(	10	136
IDENTIFIER	x	10	137
RPAREN	)	10	138
SEMICOLON	;	10	139
END	end	11	142
FI	fi	12	147
BAR	|	13	151
IDENTIFIER	x	13	153
EQUAL	=	13	155
LESSTHAN	<	13	157
CONSTANT	0	13	158
PLUS	+	13	160
CONSTANT	0	13	162
GREATERTHAN	>	13	163
BAR	|	13	165
SEMICOLON	;	13	167
WHILE	while	14	170
LPAREN	(	14	175
IDENTIFIER	x	14	177
EQUALEQUAL	==	14	179
CONSTANT	1	14	182
RPAREN	)	14	183
COLON	:	14	184
BAR	|	15	188
IDENTIFIER	x	15	190
EQUAL	=	15	192
LESSTHAN	<	15	194
IDENTIFIER	x	15	196
PLUS	+	15	198
CONSTANT	1	15	200
GREATERTHAN	>	15	202
BAR	|	15	204
SEMICOLON	;	15	206
END	end	16	210
END	end	17	215
ELIF	elif	18	219
LPAREN	(	18	223
IDENTIFIER	x	18	224
EQUALEQUAL	==	18	225
CONSTANT	7	18	227
RPAREN	)	18	228
BAR	|	19	231
IDENTIFIER	y	19	233
EQUAL	=	19	235
LESSTHAN	<	19	237
IDENTIFIER	x	19	239
PLUS	+	19	241
CONSTANT	5	19	243
GREATERTHAN	>	19	245
BAR	|	19	247
SEMICOLON	;	19	249
BAR	|	20	252
IDENTIFIER	x	20	254
EQUAL	=	20	256
LESSTHAN	<	20	258
IDENTIFIER	x	20	260
PLUS	+	20	262
IDENTIFIER	y	20	264
GREATERTHAN	>	20	266
BAR	|	20	268
SEMICOLON	;	20	270
END	end	21	273
FI	fi	22	277
END	end	23	280
