TYPE	VALUE	LINE NO	LEX PO
READ	read	3	28
LPAREN	(	3	33
IDENTIFIER	TEMP	3	34
RPAREN	)	3	38
SEMICOLON	;	3	39
IF	if	4	41
LPAREN	(	4	44
IDENTIFIER	x	4	45
EQUALEQUAL	==	4	46
CONSTANT	5	4	48
RPAREN	)	4	49
SEMICOLON	;	4	50
BAR	|	5	53
IDENTIFIER	x	5	55
EQUAL	=	5	57
LESSTHAN	<	5	59
IDENTIFIER	x	5	61
PLUS	+	5	63
CONSTANT	5	5	65
GREATERTHAN	>	5	68
BAR	|	5	70
SEMICOLON	;	5	72
IF	if	6	75
LPAREN	(	6	77
IDENTIFIER	x	6	78
EQUALEQUAL	==	6	80
CONSTANT	5	6	83
RPAREN	)	6	84
BAR	|	7	88
IDENTIFIER	x	7	90
EQUAL	=	7	92
CONSTANT	5	7	94
BAR	|	7	96
SEMICOLON	;	7	98
IDENTIFIER	adder	8	102
LPAREN	(	8	107
IDENTIFIER	x	8	108
RPAREN	)	8	109
SEMICOLON	;	8	110
BAR	|	9	114
IDENTIFIER	x	9	116
EQUAL	=	9	118
LESSTHAN	<	9	120
CONSTANT	0	9	121
PLUS	+	9	123
CONSTANT	5	9	125
GREATERTHAN	>	9	126
BAR	|	9	128
SEMICOLON	;	9	130
IDENTIFIER	adder	10	134
LPAREN	(	10	139
IDENTIFIER	x	10	140
RPAREN	)	10	141
SEMICOLON	;	10	142
END	end	11	145
FI	fi	12	150
BAR	|	13	154
IDENTIFIER	x	13	156
EQUAL	=	13	158
LESSTHAN	<	13	160
CONSTANT	0	13	161
PLUS	+	13	163
CONSTANT	0	13	165
GREATERTHAN	>	13	166
BAR	|	13	168
SEMICOLON	;	13	170
WHILE	while	14	173
LPAREN	(	14	178
IDENTIFIER	x	14	180
EQUALEQUAL	==	14	182
CONSTANT	1	14	185
RPAREN	)	14	186
COLON	:	14	187
BAR	|	15	191
IDENTIFIER	x	15	193
EQUAL	=	15	195
LESSTHAN	<	15	197
IDENTIFIER	x	15	199
PLUS	+	15	201
CONSTANT	1	15	203
GREATERTHAN	>	15	205
BAR	|	15	207
SEMICOLON	;	15	209
END	end	16	213
END	end	17	218
ELIF	elif	18	222
LPAREN	(	18	226
IDENTIFIER	x	18	227
EQUALEQUAL	==	18	228
CONSTANT	7	18	230
RPAREN	)	18	231
BAR	|	19	234
IDENTIFIER	y	19	236
EQUAL	=	19	238
LESSTHAN	<	19	240
IDENTIFIER	x	19	242
PLUS	+	19	244
CONSTANT	5	19	246
GREATERTHAN	>	19	248
BAR	|	19	250
SEMICOLON	;	19	252
BAR	|	20	255
IDENTIFIER	x	20	257
EQUAL	=	20	259
LESSTHAN	<	20	261
IDENTIFIER	x	20	263
PLUS	+	20	265
IDENTIFIER	y	20	267
GREATERTHAN	>	20	269
BAR	|	20	271
SEMICOLON	;	20	273
END	end	21	276
FI	fi	22	280
END	end	23	283
